Entry	Entry Name
A0A2I3BQE0	A0A2I3BQE0_MOUSE
A0A2I3BQS6	A0A2I3BQS6_MOUSE
A0A2I3BQZ9	A0A2I3BQZ9_MOUSE
A0A2K8FKV1	A0A2K8FKV1_HUMAN
A0A2P9DU05	A0A2P9DU05_HUMAN
A0A2R3XZC4	A0A2R3XZC4_MOUSE
A0A2R8VHR8	DT3UO_MOUSE
A0A2R8Y4I8	A0A2R8Y4I8_HUMAN
A0A2R8Y559	A0A2R8Y559_HUMAN
A0A2R8YCS4	A0A2R8YCS4_HUMAN
A0A2R8YD28	A0A2R8YD28_HUMAN
A0A2R8YDE6	A0A2R8YDE6_HUMAN
A0A2R8YF61	A0A2R8YF61_HUMAN
A0A2U3TZR0	A0A2U3TZR0_HUMAN
A0A2X0SFG1	A0A2X0SFG1_HUMAN
A0A2X0TVZ9	A0A2X0TVZ9_HUMAN
A0A348GSI3	A0A348GSI3_HUMAN
A0A384MDY0	A0A384MDY0_HUMAN
A0A384ME25	A0A384ME25_HUMAN
A0A384MED8	A0A384MED8_HUMAN
A0A384MR07	A0A384MR07_HUMAN
A0A384MTR5	A0A384MTR5_HUMAN
A0A384N5W4	A0A384N5W4_HUMAN
A0A384N611	A0A384N611_HUMAN
A0A384N647	A0A384N647_HUMAN
A0A384NL29	A0A384NL29_HUMAN
A0A384NY87	A0A384NY87_HUMAN
A0A384P5C6	A0A384P5C6_HUMAN
A0A384P5H7	A0A384P5H7_HUMAN
A0A384P5Q0	A0A384P5Q0_HUMAN
A0A386NCS8	A0A386NCS8_HUMAN
A0A3B2WC92	A0A3B2WC92_MOUSE
A0A3B2WCZ2	A0A3B2WCZ2_MOUSE
A0A3B3IRX2	A0A3B3IRX2_HUMAN
A0A3B3ISY9	A0A3B3ISY9_HUMAN
A0A3B3ISZ0	A0A3B3ISZ0_HUMAN
A0A3B3ITD0	A0A3B3ITD0_HUMAN
A0A3B3ITX7	A0A3B3ITX7_HUMAN
A0A452J888	A0A452J888_MOUSE
A0A494B9E3	A0A494B9E3_MOUSE
A0A494B9X3	A0A494B9X3_MOUSE
A0A494BA31	B3A4_MOUSE
A0A494BAP7	A0A494BAP7_MOUSE
A0A494BAW1	A0A494BAW1_MOUSE
A0A494BBH5	A0A494BBH5_MOUSE
A0A494BBP6	A0A494BBP6_MOUSE
A0A499FIJ6	A0A499FIJ6_HUMAN
A0A499FJK2	A0A499FJK2_HUMAN
A0A499FJM4	A0A499FJM4_HUMAN
A0A4Z3	A3LT2_RAT
A0A571BEE2	CYLC2_MOUSE
A0A571BG59	A0A571BG59_MOUSE
A0A590UJC7	A0A590UJC7_HUMAN
A0A5F8MPH8	A0A5F8MPH8_MOUSE
